date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:12	100/100	---M-Z	200	added ('OK')	text/plain	etag:%225d-56582d27b9c61-gzip%22	https://www.dreamgains.com/robots.txt		(from )
19:12:13	31934/31934	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202019%2013:42:11%20GMT	https://www.dreamgains.com/	C:/My%20Web%20Sites/vfd/www.dreamgains.com/index.html	(from )
19:12:13	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2019%20Aug%202019%2013:42:12%20GMT	https://www.dreamgains.com/xmlrpc.php	C:/My%20Web%20Sites/vfd/www.dreamgains.com/xmlrpc.php	(from https://www.dreamgains.com/)
19:12:13	3231/3231	---M--	200	added ('OK')	image/png	etag:%22c9f-56582d2832def%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-57x57.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-57x57.png	(from https://www.dreamgains.com/)
19:12:14	3427/3427	---M--	200	added ('OK')	image/png	etag:%22d63-56582d2832def%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-60x60.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-60x60.png	(from https://www.dreamgains.com/)
19:12:14	4226/4226	---M--	200	added ('OK')	image/png	etag:%221082-56582d2832def%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-72x72.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-72x72.png	(from https://www.dreamgains.com/)
19:12:14	4514/4514	---M--	200	added ('OK')	image/png	etag:%2211a2-56582d2832def%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-76x76.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-76x76.png	(from https://www.dreamgains.com/)
19:12:14	7534/7534	---M--	200	added ('OK')	image/png	etag:%221d6e-56582d2831e4f%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-114x114.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-114x114.png	(from https://www.dreamgains.com/)
19:12:14	8122/8122	---M--	200	added ('OK')	image/png	etag:%221fba-56582d2831e4f%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-120x120.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-120x120.png	(from https://www.dreamgains.com/)
19:12:15	10515/10515	---M--	200	added ('OK')	image/png	etag:%222913-56582d2831e4f%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-144x144.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-144x144.png	(from https://www.dreamgains.com/)
19:12:15	11190/11190	---M--	200	added ('OK')	image/png	etag:%222bb6-56582d2831e4f%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-152x152.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-152x152.png	(from https://www.dreamgains.com/)
19:12:15	14077/14077	---M--	200	added ('OK')	image/png	etag:%2236fd-56582d2831e4f%22	https://www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-180x180.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/apple-icon-180x180.png	(from https://www.dreamgains.com/)
19:12:15	14464/14464	---M--	200	added ('OK')	image/png	etag:%223880-56582d2831e4f%22	https://www.dreamgains.com/wp-content/themes/dreamgains/android-icon-192x192.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/android-icon-192x192.png	(from https://www.dreamgains.com/)
19:12:16	6081/6081	---M--	200	added ('OK')	image/png	etag:%2217c1-56582d2832def%22	https://www.dreamgains.com/wp-content/themes/dreamgains/favicon-96x96.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/favicon-96x96.png	(from https://www.dreamgains.com/)
19:12:16	1842/1842	---M--	200	added ('OK')	image/png	etag:%22732-56582d2832def%22	https://www.dreamgains.com/wp-content/themes/dreamgains/favicon-32x32.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/favicon-32x32.png	(from https://www.dreamgains.com/)
19:12:16	1153/1153	---M--	200	added ('OK')	image/png	etag:%22481-56582d2832def%22	https://www.dreamgains.com/wp-content/themes/dreamgains/favicon-16x16.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/favicon-16x16.png	(from https://www.dreamgains.com/)
19:12:16	18351/18351	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202019%2013:42:15%20GMT	https://www.dreamgains.com/manifest.json	C:/My%20Web%20Sites/vfd/www.dreamgains.com/manifest.json	(from https://www.dreamgains.com/)
19:12:17	18351/18351	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202019%2013:42:15%20GMT	https://www.dreamgains.com/ms-icon-144x144.png	C:/My%20Web%20Sites/vfd/www.dreamgains.com/ms-icon-144x144.png	(from https://www.dreamgains.com/)
19:12:17	182/182	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2019%20Aug%202019%2013:42:16%20GMT	https://www.dreamgains.com/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-admin/admin-ajax.php	(from https://www.dreamgains.com/)
19:12:17	149443/149443	---M-Z	200	added ('OK')	text/css	etag:%22247c3-56582d2832def-gzip%22	https://www.dreamgains.com/wp-content/themes/dreamgains/css/bootstrap.min.css?ver=4.9	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/css/bootstrap.min33a6.css	(from https://www.dreamgains.com/)
19:12:17	19963/19963	---M-Z	200	added ('OK')	text/css	etag:%224dfb-56582d2832def-gzip%22	https://www.dreamgains.com/wp-content/themes/dreamgains/css/bootstrap-theme.min.css?ver=4.9	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/css/bootstrap-theme.min33a6.css	(from https://www.dreamgains.com/)
19:12:18	51963/51963	---M-Z	200	added ('OK')	text/css	etag:%22cafb-56582d2841851-gzip%22	https://www.dreamgains.com/wp-content/themes/dreamgains/style.css?ver=4.9	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/style33a6.css	(from https://www.dreamgains.com/)
19:12:18	84320/84320	---M-Z	200	added ('OK')	application/javascript	etag:%2214960-56582d28408b1-gzip%22	https://www.dreamgains.com/wp-content/themes/dreamgains/js/jquery.min.js?ver=4.9	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/js/jquery.min33a6.js	(from https://www.dreamgains.com/)
19:12:18	708/708	---M-Z	200	added ('OK')	application/rss+xml	etag:%223ae6748de55ea23bc76ea3b732a5fa7f-gzip%22	https://www.dreamgains.com/home/feed/	C:/My%20Web%20Sites/vfd/www.dreamgains.com/home/feed/index.html	(from https://www.dreamgains.com/)
19:12:18	35951/35951	---M-Z	200	added ('OK')	application/javascript	etag:%228c6f-56582d28408b1-gzip%22	https://www.dreamgains.com/wp-content/themes/dreamgains/js/bootstrap.min.js?ver=4.9	C:/My%20Web%20Sites/vfd/www.dreamgains.com/wp-content/themes/dreamgains/js/bootstrap.min33a6.js	(from https://www.dreamgains.com/)
